County,Precipitation_2021
Alameda,18.11
Alpine,37.63
Amador ,34.53
Butte ,35.78
Calaveras ,33.21
Colusa ,18.55
Contra Costa ,17.02
Del Norte ,75.57
El Dorado ,42.13
Fresno ,16.84
Glenn ,19.76
Humboldt ,52.41
Imperial ,2.48
Inyo ,4.61
Kern ,6.81
Kings ,7.30
Lake ,36.57
Lassen ,18.29
Los Angeles ,11.79
Madera ,19.05
Marin ,30.23
Mariposa ,26.47
Mendocino ,43.41
Merced ,10.50
Modoc ,14.59
Mono ,16.12
Monterey ,20.79
Napa ,27.17
Nevada ,48.69
Orange ,9.39
Placer ,44.48
Plumas ,38.28
Riverside ,5.39
Sacramento ,17.58
San Benito ,16.09
San Bernardino ,4.31
San Diego ,11.34
San Francisco ,24.87
San Joaquin ,14.21
San Luis Obispo ,16.80
San Mateo ,26.17
Santa Barbara ,16.53
Santa Clara ,23.60
Santa Cruz ,34.42
Shasta ,33.31
Sierra ,44.68
Siskiyou ,29.39
Solano ,18.48
Sonoma ,35.20
Stanislaus ,14.17
Sutter ,16.08
Tehama ,30.03
Trinity ,44.78
Tulare ,18.48
Tuolumne ,37.42
Ventura ,16.94
Yolo ,18.91
Yuba ,32.69